19485
-------- Apriori --------
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'preserving data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'privacy preserving data mining',) 0.00240706071142 1.0
preserving data --> (u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data --> (u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
preserving data --> (u'preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'preserving data mining', u'data mining') 0.00240706071142 1.0
preserving data --> (u'preserving data mining',) 0.00240706071142 1.0
preserving data --> (u'privacy preserving data', u'original data', u'data mining') 0.00160470714095 1.0
preserving data --> (u'privacy preserving data', u'data mining') 0.00374431666221 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'preserving data') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
preserving data mining --> (u'privacy preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'preserving data') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'privacy preserving data mining',) 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining', u'preserving data') 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining', u'data mining') 0.00240706071142 1.0
privacy preserving data --> (u'preserving data mining',) 0.00240706071142 1.0
privacy preserving data --> (u'preserving data', u'original data', u'data mining') 0.00160470714095 1.0
privacy preserving data --> (u'preserving data', u'data mining') 0.00374431666221 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'preserving data') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'privacy preserving data', u'data mining') 0.00240706071142 1.0
privacy preserving data mining --> (u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
rule mining --> (u'association rule mining', u'data set') 0.00160470714095 1.0
series data --> (u'time series data', u'data mining') 0.00320941428189 1.0
social media data --> (u'media data', u'data mining') 0.00133725595079 1.0
task learning --> (u'multi task learning', u'multi task', u'training data') 0.00133725595079 1.0
task learning --> (u'multi task learning', u'multi task', u'data sets') 0.00133725595079 1.0
